from,to
14524979500,23502223100
14524979500,36454813000
14524979500,57154897100
14524979500,14524979500
23502223100,36454813000
23502223100,57154897100
23502223100,23502223100
36454813000,57154897100
36454813000,36454813000
57154897100,57154897100
35272027700,36192079400
35271904600,36192079400
36192079400,7403289965
36192079400,8959871900
26026973800,36192079400
35271904600,35272027700
35272027700,7403289965
35272027700,8959871900
26026973800,35272027700
35271904600,7403289965
35271904600,8959871900
26026973800,35271904600
7403289965,8959871900
26026973800,7403289965
26026973800,8959871900
55604312100,7006832286
56189719400,7003980398
35496490800,53164383200
55828672900,56700270200
56700270200,57205707211
56700270200,6603840014
56700270200,57194471875
55828672900,57205707211
55828672900,6603840014
55828672900,57194471875
57205707211,6603840014
57194471875,57205707211
57194471875,6603840014
10540091700,57202423437
56203333800,57202423437
36016444900,57202423437
10540091700,56203333800
10540091700,36016444900
36016444900,56203333800
57044894000,57210726896
57044894000,57205709827
57044894000,57210724491
57044894000,7403366574
57205709827,57210726896
57210724491,57210726896
57210726896,7403366574
57205709827,57210724491
57205709827,7403366574
57210724491,7403366574
6603391848,7003660965
35448072700,7003796252
7003796252,7003980398
35448072700,7003980398
57206243894,7501614559
57206243894,7201517333
7201517333,7501614559
54931860200,57208660616
54931860200,55866729400
37087741600,54931860200
54931860200,55555616600
55866729400,57208660616
37087741600,57208660616
55555616600,57208660616
37087741600,55866729400
55555616600,55866729400
37087741600,55555616600
35207858400,56275613300
35207858400,8073277200
35207858400,55702248700
35207858400,7402713216
35207858400,56275471800
56275613300,8073277200
55702248700,56275613300
56275613300,7402713216
56275471800,56275613300
55702248700,8073277200
7402713216,8073277200
56275471800,8073277200
55702248700,7402713216
55702248700,56275471800
56275471800,7402713216
55673699800,56549203400
56549203400,8073277200
55673699800,8073277200
56680615700,57190295473
56680615700,7403997133
56680615700,7202870103
57190295473,7403997133
57190295473,7202870103
7202870103,7403997133
12776896400,26967671500
26967671500,56590896900
26967671500,7402387545
12776896400,56590896900
12776896400,7402387545
56590896900,7402387545
56072774900,7404921099
56072774900,56118160200
56118160200,7404921099
12776896400,56683913000
26967671500,56683913000
56590896900,56683913000
56683913000,7402387545
35207858400,57194471875
35207858400,7201486435
56275471800,57194471875
56275471800,7201486435
55702248700,57194471875
55702248700,7201486435
57194471875,7402713216
7201486435,7402713216
57194471875,8073277200
7201486435,8073277200
57194471875,7201486435
56430460800,57212622795
49964581000,57205170829
57205170829,7202444605
49964581000,7202444605
56700270200,57215943406
57194471875,57215943406
57205707211,57215943406
57199328907,57205102958
24366467300,56203333800
24366467300,7102485453
24366467300,34975067800
24366467300,57208767575
24366467300,9044180400
56203333800,7102485453
34975067800,56203333800
56203333800,57208767575
56203333800,9044180400
34975067800,7102485453
57208767575,7102485453
7102485453,9044180400
7102485453,7102485453
34975067800,57208767575
34975067800,9044180400
57208767575,9044180400
55581352300,55823816100
55581352300,7005942578
55581352300,8662634700
55581352300,56109281900
55823816100,7005942578
55823816100,8662634700
55823816100,56109281900
7005942578,8662634700
7005942578,7005942578
56109281900,7005942578
56109281900,8662634700
17036840300,23995677100
23995677100,7201732358
10539108700,23995677100
23995677100,24173525700
17036840300,7201732358
10539108700,17036840300
17036840300,24173525700
10539108700,7201732358
24173525700,7201732358
10539108700,24173525700
35238506600,57210771483
57210771483,7003660965
57210771483,9841977000
35238506600,7003660965
35238506600,9841977000
7003660965,9841977000
57193028941,57203943133
35269786700,57193028941
35269786700,57203943133
37037729400,7102963869
37037729400,7003908393
37037729400,37037729400
37037729400,7103256066
7003908393,7102963869
7102963869,7102963869
7102963869,7103256066
7003908393,7003908393
7003908393,7103256066
7103256066,7103256066
7005942578,7202944018
21643685700,7005942578
55581352300,7202944018
21643685700,55581352300
21643685700,7202944018
35409112400,55215138100
35409112400,35774484100
15754933300,35409112400
35409112400,8524552000
14027268300,35409112400
35774484100,55215138100
15754933300,55215138100
55215138100,8524552000
14027268300,55215138100
15754933300,35774484100
35774484100,8524552000
14027268300,35774484100
15754933300,8524552000
14027268300,15754933300
14027268300,8524552000
6506163209,7402504819
7006991057,7402504819
7401835571,7402504819
6506163209,7006991057
6506163209,7401835571
7006991057,7401835571
57208660616,7202870103
57189071246,57208660616
57208660616,57208660616
57202605966,57208660616
57189071246,7202870103
55555616600,7202870103
57202605966,7202870103
55555616600,57189071246
57189071246,57202605966
55555616600,57202605966
54781498400,56699504700
54781498400,54781498400
54781498400,55292900000
54781498400,57188926364
54781498400,57205849240
54781498400,7103185447
54781498400,55757770700
55292900000,56699504700
56699504700,57188926364
56699504700,57205849240
56699504700,7103185447
55757770700,56699504700
55292900000,57188926364
55292900000,57205849240
55292900000,7103185447
55292900000,55757770700
57188926364,57205849240
57188926364,7103185447
55757770700,57188926364
57205849240,7103185447
55757770700,57205849240
55757770700,7103185447
23094238900,53881909800
53881909800,6506146504
53881909800,56309167900
35452973500,53881909800
53881909800,57206326058
53881909800,6508048952
23094238900,6506146504
23094238900,56309167900
23094238900,35452973500
23094238900,57206326058
23094238900,6508048952
56309167900,6506146504
35452973500,6506146504
57206326058,6506146504
6506146504,6508048952
35452973500,56309167900
56309167900,57206326058
56309167900,6508048952
35452973500,57206326058
35452973500,6508048952
57206326058,6508048952
7006832286,8084355300
7006832286,7201791596
55604312100,8084355300
55604312100,7201791596
7201791596,8084355300
53881909800,53881909800
56309167900,56309167900
35452973500,35452973500
23094238900,23094238900
6508048952,6508048952
57206326058,57206326058
6506146504,6506146504
55604312100,57203646597
57210724491,57210724491
57195064485,7202404890
56079973200,56486172100
56486172100,7003980398
56079973200,7003980398
15754933300,15754933300
35774484100,35774484100
54890067800,55434112400
10241135200,54890067800
54890067800,55949886700
54890067800,55362955100
16445232200,54890067800
54890067800,54890067800
54890067800,7408203465
54890067800,55878862500
10241135200,55434112400
55434112400,55949886700
55362955100,55434112400
16445232200,55434112400
55434112400,55434112400
55434112400,7408203465
55434112400,55878862500
10241135200,55949886700
10241135200,55362955100
10241135200,16445232200
10241135200,10241135200
10241135200,7408203465
10241135200,55878862500
55362955100,55949886700
16445232200,55949886700
55949886700,7408203465
55878862500,55949886700
16445232200,55362955100
55362955100,7408203465
55362955100,55878862500
16445232200,16445232200
16445232200,7408203465
16445232200,55878862500
55878862500,7408203465
35243401500,55581352300
55581352300,55581352300
35243401500,7005942578
35243401500,35243401500
35243401500,7202944018
21643685700,35243401500
35210936800,54784086900
54784086900,55858318900
35210936800,55858318900
6603944469,6603944469
6603944469,8410364800
13403173200,6603944469
13403173200,8410364800
55757770700,7201471906
55757770700,57194387953
55757770700,57194383495
57194387953,7201471906
57194383495,7201471906
54781498400,7201471906
7103185447,7201471906
57194383495,57194387953
54781498400,57194387953
57194387953,7103185447
54781498400,57194383495
57194383495,7103185447
35239130000,35308195400
35239130000,55863477900
35239130000,55863423900
35308195400,55863477900
35308195400,55863423900
55863423900,55863477900
55757331400,57213601094
55757331400,7103185447
55757331400,57188926364
57213601094,7103185447
57188926364,57213601094
35308195400,56443051100
35337548600,6602441334
54394680800,6602441334
10642081000,6602441334
35337548600,54394680800
10642081000,35337548600
10642081000,54394680800
35451010100,6506146504
23094238900,35451010100
35451010100,56309167900
35451010100,6508048952
35451010100,35452973500
35451010100,57206326058
53881909800,7005942578
57206326058,7005942578
23094238900,7005942578
53881909800,55581352300
55581352300,57206326058
23094238900,55581352300
55697242300,7402893527
37111201600,55697242300
21733916100,55697242300
32467499700,55697242300
55356959300,55697242300
55589165400,55697242300
55697242300,55697242300
21733872300,55697242300
55697242300,7004081985
37111201600,7402893527
21733916100,7402893527
32467499700,7402893527
55356959300,7402893527
55589165400,7402893527
21733872300,7402893527
7004081985,7402893527
21733916100,37111201600
32467499700,37111201600
37111201600,55356959300
37111201600,55589165400
21733872300,37111201600
37111201600,7004081985
21733916100,32467499700
21733916100,55356959300
21733916100,55589165400
21733872300,21733916100
21733916100,7004081985
32467499700,55356959300
32467499700,55589165400
21733872300,32467499700
32467499700,7004081985
55356959300,55589165400
21733872300,55356959300
55356959300,7004081985
21733872300,55589165400
55589165400,7004081985
21733872300,7004081985
35407803800,8589985800
35407803800,35407803800
24168625300,56036795000
55808070688,56036795000
55334288900,56036795000
55768960700,56036795000
24168625300,55808070688
24168625300,55334288900
24168625300,55768960700
55334288900,55808070688
55768960700,55808070688
55334288900,55768960700
57159484000,7102963869
57159484000,7003980398
35451010100,57159484000
57159484000,7201486435
7003980398,7102963869
35451010100,7102963869
7102963869,7201486435
35451010100,7003980398
7003980398,7201486435
35451010100,7201486435
55757770700,55757770700
24366467300,36016444900
36016444900,57208767575
34975067800,36016444900
36016444900,9044180400
36016444900,7102485453
25824322100,35271904600
35271904600,35273080700
25824322100,35272027700
35272027700,35273080700
25824322100,7403289965
25824322100,35273080700
35273080700,7403289965
21733872300,55219954200
21733872300,7101998211
21733872300,35555301900
21733872300,35429490500
21733872300,21733872300
55219954200,55697242300
55697242300,7101998211
35555301900,55697242300
35429490500,55697242300
55219954200,55356959300
55356959300,7101998211
35555301900,55356959300
35429490500,55356959300
55356959300,55356959300
55219954200,7101998211
35555301900,55219954200
35429490500,55219954200
55219954200,7004081985
35555301900,7101998211
35429490500,7101998211
7004081985,7101998211
7101998211,7101998211
35429490500,35555301900
35555301900,7004081985
35429490500,7004081985
35429490500,35429490500
7004081985,7004081985
56680615700,6701846591
55219954200,56680615700
21733872300,56680615700
56680615700,7004081985
26967671500,56680615700
12776896400,56680615700
56680615700,7202964131
56680615700,8589146900
36608386100,56680615700
56680615700,57208767575
56680615700,7402387545
6701846591,7202870103
55219954200,7202870103
21733872300,7202870103
7004081985,7202870103
26967671500,7202870103
12776896400,7202870103
7202870103,7202964131
7202870103,8589146900
36608386100,7202870103
57208767575,7202870103
7202870103,7402387545
57190295473,6701846591
55219954200,57190295473
21733872300,57190295473
57190295473,7004081985
26967671500,57190295473
12776896400,57190295473
57190295473,7202964131
57190295473,8589146900
36608386100,57190295473
57190295473,57208767575
57190295473,7402387545
55219954200,6701846591
21733872300,6701846591
6701846591,7004081985
26967671500,6701846591
12776896400,6701846591
6701846591,7202964131
6701846591,8589146900
36608386100,6701846591
57208767575,6701846591
6701846591,7402387545
26967671500,55219954200
12776896400,55219954200
55219954200,7202964131
55219954200,8589146900
36608386100,55219954200
55219954200,57208767575
55219954200,7402387545
21733872300,26967671500
12776896400,21733872300
21733872300,7202964131
21733872300,8589146900
21733872300,36608386100
21733872300,57208767575
21733872300,7402387545
26967671500,7004081985
12776896400,7004081985
7004081985,7202964131
7004081985,8589146900
36608386100,7004081985
57208767575,7004081985
7004081985,7402387545
26967671500,7202964131
26967671500,8589146900
26967671500,36608386100
26967671500,57208767575
12776896400,7202964131
12776896400,8589146900
12776896400,36608386100
12776896400,57208767575
7202964131,8589146900
36608386100,7202964131
57208767575,7202964131
7202964131,7402387545
36608386100,8589146900
57208767575,8589146900
7402387545,8589146900
36608386100,57208767575
36608386100,7402387545
57208767575,7402387545
24366467300,8639392500
24366467300,55902776800
24366467300,55904476400
24366467300,55902837900
24366467300,55903607500
24366467300,55904258700
8639392500,9044180400
55902776800,8639392500
55904476400,8639392500
55902837900,8639392500
55903607500,8639392500
55904258700,8639392500
7102485453,8639392500
55902776800,9044180400
55904476400,9044180400
55902837900,9044180400
55903607500,9044180400
55904258700,9044180400
55902776800,55904476400
55902776800,55902837900
55902776800,55903607500
55902776800,55904258700
55902776800,7102485453
55902837900,55904476400
55903607500,55904476400
55904258700,55904476400
55904476400,7102485453
55902837900,55903607500
55902837900,55904258700
55902837900,7102485453
55903607500,55904258700
55903607500,7102485453
55904258700,7102485453
35774484100,57211309494
36009751100,56203333800
36608386100,56203333800
36009751100,57208767575
36009751100,36016444900
36009751100,36608386100
24366467300,36009751100
34975067800,36009751100
36009751100,9044180400
36009751100,7102485453
36016444900,36608386100
24366467300,36608386100
34975067800,36608386100
36608386100,9044180400
36608386100,7102485453
37000300500,57203646597
55334288900,55504198400
55334288900,7404399339
35432020000,55334288900
55504198400,56036795000
56036795000,7404399339
35432020000,56036795000
24168625300,55504198400
24168625300,7404399339
24168625300,35432020000
55504198400,7404399339
35432020000,55504198400
35432020000,7404399339
55673699800,7410349606
55673699800,7402713216
55673699800,55702248700
55673699800,55673699800
7402713216,7410349606
55702248700,7410349606
7410349606,8073277200
7410349606,7410349606
7402713216,7402713216
55702248700,55702248700
8073277200,8073277200
54781498400,55757331400
55292900000,55757331400
55757331400,57205849240
55757331400,55757770700
12808009300,36080419400
57201231516,7004006875
12243564300,7004006875
7004006875,7005907261
7004006875,8559629900
12243564300,57201231516
57201231516,7005907261
57201231516,8559629900
12243564300,7005907261
12243564300,8559629900
7005907261,7005907261
7005907261,8559629900
36731630800,37086969000
36731630800,51663738600
24504264600,36731630800
36731630800,7201921573
36731630800,55654699700
37086969000,51663738600
24504264600,37086969000
37086969000,7201921573
37086969000,55654699700
24504264600,51663738600
51663738600,7201921573
51663738600,55654699700
24504264600,7201921573
24504264600,55654699700
55654699700,7201921573
36773552700,57203685091
36773552700,7201517333
57203685091,7201517333
57208660616,6603402906
37087741600,6603402906
37087741600,7202870103
55866729400,6603402906
55866729400,7202870103
55555616600,6603402906
6603402906,7202870103
36011893100,57208660616
57208660616,7402686024
36011893100,37087741600
37087741600,7402686024
36011893100,55866729400
55866729400,7402686024
36011893100,54931860200
36011893100,6603402906
36011893100,55555616600
36011893100,7202870103
36011893100,7402686024
54931860200,6603402906
54931860200,7202870103
54931860200,7402686024
6603402906,7402686024
55555616600,7402686024
7202870103,7402686024
56437827200,57203495165
56437827200,7401616833
56437827200,7003980398
57203495165,7401616833
57203495165,7003980398
7003980398,7401616833
56437827200,57217110767
57203495165,57217110767
57217110767,7401616833
35425451200,35488957100
16162624100,35488957100
35488957100,57198398999
13005819900,35488957100
35488957100,57206334758
35488957100,7004907775
35488957100,42961543400
35488957100,8668053400
35488957100,36094012800
16162624100,35425451200
35425451200,57198398999
13005819900,35425451200
35425451200,57206334758
35425451200,7004907775
35425451200,42961543400
35425451200,8668053400
35425451200,36094012800
16162624100,57198398999
13005819900,16162624100
16162624100,57206334758
16162624100,7004907775
16162624100,42961543400
16162624100,8668053400
16162624100,36094012800
13005819900,57198398999
57198398999,57206334758
57198398999,7004907775
42961543400,57198398999
57198398999,8668053400
36094012800,57198398999
13005819900,57206334758
13005819900,7004907775
13005819900,42961543400
13005819900,8668053400
13005819900,36094012800
57206334758,7004907775
42961543400,57206334758
57206334758,8668053400
36094012800,57206334758
42961543400,7004907775
7004907775,8668053400
36094012800,7004907775
42961543400,8668053400
36094012800,42961543400
36094012800,8668053400
35243401500,55823816100
35243401500,8639392500
55581352300,8639392500
55823816100,55823816100
55823816100,7202944018
55823816100,8639392500
7005942578,8639392500
7202944018,8639392500
55668697500,8941549700
55628545524,55903607500
55628545524,8639392500
55628545524,9044180400
24366467300,55628545524
55628545524,55902776800
55628545524,55904258700
55628545524,7102485453
55337229500,7201517333
21643685700,56189719400
56189719400,56189719400
21643685700,21643685700
57198676758,57203646597
55673699800,56275471800
55673699800,56275613300
35207858400,55673699800
7003980398,7003980398
24366467300,24366467300
57208767575,8639392500
34975067800,8639392500
55628545524,57208767575
34975067800,55628545524
55902776800,57208767575
34975067800,55902776800
55903607500,57208767575
34975067800,55903607500
55904258700,57208767575
34975067800,55904258700
55808070688,7404399339
55768960700,7404399339
35451010100,35451010100
55757770700,57198560086
57198560086,7201471906
55757331400,57198560086
57198560086,7103185447
55757331400,7201471906
38962213900,55319492000
37086969000,56046243800
51663738600,56046243800
56046243800,7201921573
55654699700,56046243800
55228372500,7103032282
18934971900,7103032282
18934971900,55228372500
55538348100,55983155100
55982515700,55983155100
55981843600,55983155100
55983155100,55983682000
55982310100,55983155100
55983155100,56054900100
55983155100,56147621600
55538348100,55982515700
55538348100,55981843600
55538348100,55983682000
55538348100,55982310100
55538348100,56054900100
55538348100,56147621600
55981843600,55982515700
55982515700,55983682000
55982310100,55982515700
55982515700,56054900100
55982515700,56147621600
55981843600,55983682000
55981843600,55982310100
55981843600,56054900100
55981843600,56147621600
55982310100,55983682000
55983682000,56054900100
55983682000,56147621600
55982310100,56054900100
55982310100,56147621600
56054900100,56147621600
55979890600,57208660616
55979890600,7202870103
55979890600,6603402906
55979890600,57216307963
37087741600,55979890600
55555616600,55979890600
57208660616,57216307963
57216307963,7202870103
57216307963,6603402906
37087741600,57216307963
55555616600,57216307963
35431695100,55436750100
15833607500,55436750100
15833607500,35431695100
35269786700,56814376300
35269786700,57208491581
56814376300,57203943133
57203943133,57208491581
56814376300,57193028941
57193028941,57208491581
56814376300,57208491581
56375977000,57208399619
56375977000,57195626049
56375977000,56428045100
56375977000,57195624964
57195626049,57208399619
56428045100,57208399619
57195624964,57208399619
56428045100,57195626049
57195624964,57195626049
56428045100,57195624964
57129550700,7601545734
57129550700,7402686024
55184067500,57129550700
7402686024,7601545734
55184067500,7601545734
55184067500,7402686024
55991464200,7102975521
35272027700,55991464200
55991464200,7403289965
55991464200,56000008900
35272027700,7102975521
7102975521,7403289965
56000008900,7102975521
35272027700,56000008900
56000008900,7403289965
56700270200,57214457837
55828672900,57214457837
57205707211,57214457837
57214457837,6603840014
57194471875,57214457837
54890067800,57205394026
10241135200,57205394026
55434112400,57205394026
55362955100,57205394026
55949886700,57205394026
16445232200,57205394026
57205394026,7408203465
55878862500,57205394026
34568563700,34568563700
34568563700,35189580700
44061897600,8089024000
53986146800,8089024000
55827227800,8089024000
44061897600,53986146800
44061897600,55827227800
53986146800,55827227800
7103027908,7103027908
56211706600,7404384671
7006364026,7404384671
56211706600,7006364026
35429991100,7202056741
35429991100,7102629229
35429991100,35429991100
7102629229,7202056741
56097212100,57198736244
35553426500,37042822900
37042822900,7102881305
37042822900,55424290500
37042822900,57207339924
35553426500,7102881305
35553426500,55424290500
35553426500,57207339924
55424290500,7102881305
57207339924,7102881305
55424290500,57207339924
35407803800,7402087485
7005559138,7006071597
6701682673,7005907261
18936408700,7005907261
18937485200,7005907261
6602875578,7005907261
57201231516,6701682673
18936408700,57201231516
18937485200,57201231516
57201231516,6602875578
18936408700,6701682673
18937485200,6701682673
6602875578,6701682673
18936408700,18937485200
18936408700,6602875578
18937485200,6602875578
7201396313,7201517333
7201517333,7201517333
7201396313,7201396313
6603157564,7404384671
6603157564,6603157564
36349895500,7402504819
36349895500,7401835571
36349895500,7006991057
35432020000,56922373300
56922373300,6603707158
21737647900,56922373300
35432020000,6603707158
21737647900,35432020000
21737647900,6603707158
7202609388,7601545734
7402546177,7601545734
36903880900,7601545734
7402881854,7601545734
7202609388,7402546177
36903880900,7202609388
7202609388,7402881854
36903880900,7402546177
7402546177,7402881854
36903880900,7402881854
7402387545,7402387545
35452973500,7005507348
7005507348,7005507348
7402504819,7402504819
7102573506,7102573506
55424290500,55424290500
7004907775,7006545066
7004907775,7005316312
7004907775,7004907775
35425451200,7006545066
35425451200,7005316312
7005316312,7006545066
17036840300,7006134457
17036840300,17036840300
56211706600,6603157564
6603157564,7006364026
7201396313,7410051269
55726306900,7410051269
55726306900,7201396313
7006545066,8668053400
13005819900,7006545066
52364371800,52364371800
52364371800,7102159352
52364371800,7003666174
7003666174,7102159352
26531070300,7402387545
26531070300,26967822900
26531070300,55732756400
26531070300,26967671500
12776896400,26531070300
26531070300,56590896900
26967822900,7402387545
55732756400,7402387545
26967822900,55732756400
26967671500,26967822900
12776896400,26967822900
26967822900,56590896900
26967671500,55732756400
12776896400,55732756400
55732756400,56590896900
35432020000,7404905962
56243899200,7006491939
14006868500,7006491939
10540091700,7006491939
57208767575,7006491939
36009751100,7006491939
7006491939,8639392500
7006491939,9044180400
14006868500,56243899200
10540091700,56243899200
56243899200,57208767575
36009751100,56243899200
56243899200,8639392500
56243899200,9044180400
10540091700,14006868500
14006868500,57208767575
14006868500,36009751100
14006868500,8639392500
14006868500,9044180400
10540091700,57208767575
10540091700,36009751100
10540091700,8639392500
10540091700,9044180400
36009751100,8639392500
25226466100,7003624044
10540107500,7003624044
7003624044,8959871900
7003624044,7403289965
10540107500,25226466100
25226466100,8959871900
25226466100,7403289965
10540107500,8959871900
10540107500,7403289965
57164435800,6603944469
57164435800,8410364800
13403173200,57164435800
57202605966,7202444605
57206326058,7202944018
24168625300,7404905962
24168625300,7004176813
7004176813,7404905962
56036795000,7404905962
55504198400,7404905962
56036795000,7004176813
55504198400,7004176813
35432020000,7004176813
7101952522,7101952522
24366467300,35243401500
35243401500,9044180400
35243401500,7102485453
23135021400,56680615700
35405274900,56680615700
6701846591,7403997133
23135021400,6701846591
35405274900,6701846591
23135021400,57190295473
35405274900,57190295473
23135021400,7403997133
35405274900,7403997133
23135021400,35405274900
6603984657,7403524990
23135625700,7005907261
23135625700,57201231516
23135625700,8559629900
35214458300,7601545734
35214458300,7402546177
35795772200,7402504819
35795772200,7004402650
35795772200,36349895500
7004402650,7402504819
36349895500,7004402650
55553071100,7403524990
54786011200,55553071100
54786011200,7403524990
22233899400,55894843800
55894843800,56980684400
55212905200,55894843800
55800562700,55894843800
22233899400,56980684400
22233899400,55212905200
22233899400,55800562700
55212905200,56980684400
55800562700,56980684400
55212905200,55800562700
35212059900,35409112400
35212059900,35774484100
15754933300,35212059900
35212059900,8524552000
14027268300,35212059900
7003624044,7202870103
7202870103,7401964621
56000008900,7202870103
57208660616,7003624044
57208660616,7401964621
56000008900,57208660616
54931860200,57216307963
57216307963,7003624044
57216307963,7401964621
56000008900,57216307963
54931860200,7003624044
54931860200,7401964621
54931860200,56000008900
7003624044,7401964621
56000008900,7003624044
56000008900,7401964621
8410364800,8410364800
57203495165,7410211116
56437827200,7410211116
57203495165,7601600991
7410211116,7601600991
56437827200,7601600991
56228866400,7404384671
56228866400,7006341653
35418861200,56228866400
54894354500,56228866400
7006341653,7404384671
35418861200,7404384671
54894354500,7404384671
35418861200,7006341653
54894354500,7006341653
35418861200,54894354500
55601043400,56437827200
55601043400,7601600991
7401616833,7601600991
7003980398,7601600991
55601043400,57203495165
55601043400,7401616833
55601043400,7003980398
23990684300,55436750100
23990684300,6603417855
15833607500,23990684300
23990684300,7005681918
23990684300,35431695100
55436750100,6603417855
55436750100,7005681918
15833607500,6603417855
6603417855,7005681918
35431695100,6603417855
15833607500,7005681918
35431695100,7005681918
10540091700,36608386100
14006868500,36608386100
10540091700,34975067800
14006868500,34975067800
55823816100,8589985800
55439283900,57189350273
55439283900,55628575047
55439283900,56507249100
55628575047,57189350273
56507249100,57189350273
55628575047,56507249100
7103167123,7103400620
7103400620,8859654600
7103400620,7201374971
7103167123,8859654600
7103167123,7201374971
7201374971,8859654600
24778388200,7401719314
24778388200,57203325104
24777814400,24778388200
24778388200,56411292600
14039424600,24778388200
57203325104,7401719314
24777814400,7401719314
56411292600,7401719314
14039424600,7401719314
24777814400,57203325104
56411292600,57203325104
14039424600,57203325104
24777814400,56411292600
14039424600,24777814400
14039424600,56411292600
6701756641,7005200205
36981135000,7006341653
7006341653,7006364026
6603734505,7006341653
7006341653,7006341653
36981135000,7404384671
36981135000,7006364026
36981135000,56228866400
36981135000,6603734505
35418861200,36981135000
6603734505,7404384671
56228866400,7006364026
6603734505,7006364026
35418861200,7006364026
56228866400,6603734505
35418861200,6603734505
7201471906,7410051269
55025816600,56228866400
55025816600,7404384671
36981135000,55025816600
55025816600,7006341653
35418861200,55025816600
16200285700,23988719000
37037729400,56276486600
56276486600,7102963869
56276486600,7003908393
7401964621,8589146900
7401964621,7405708537
7405708537,8589146900
57203646597,57203646597
35429991100,55729615700
35429991100,55512829500
35429991100,7003783717
35429991100,7405346352
35429991100,7201563603
55512829500,55729615700
55729615700,7003783717
55729615700,7405346352
55729615700,7102629229
55729615700,7201563603
55512829500,7003783717
55512829500,7405346352
55512829500,7102629229
55512829500,7201563603
7003783717,7405346352
7003783717,7102629229
7003783717,7201563603
7102629229,7405346352
7201563603,7405346352
7102629229,7201563603
16444170400,55469806600
13408243800,55469806600
55469806600,55469806600
55469806600,6603944469
13408243800,16444170400
16444170400,6603944469
13408243800,6603944469
18537355000,55228372500
18537355000,7103032282
57205170829,7202222823
7202222823,7202444605
7402504819,7402825328
7006991057,7402825328
36349895500,7402825328
56922373300,7004176813
57205841106,7004176813
7004176813,7004176813
56922373300,57205841106
35432020000,57205841106
36243868300,56155811700
35431695100,8507588600
